Ensembl ID	HPO	hgncSymbol
ENSG00000159650.8	Eye-abnormality	UROC1
ENSG00000179348.11	Eye-abnormality	GATA2
ENSG00000169714.16	Eye-abnormality	CNBP
ENSG00000004399.12	Eye-abnormality	PLXND1
ENSG00000170819.4	Eye-abnormality	BFSP2
ENSG00000183770.5	Eye-abnormality	FOXL2
ENSG00000175054.14	Eye-abnormality	ATR
ENSG00000152977.9	Eye-abnormality	ZIC1
ENSG00000047457.13	Eye-abnormality	CP
ENSG00000163646.10	Eye-abnormality	CLRN1
ENSG00000169359.13	Eye-abnormality	SLC33A1
ENSG00000168827.14	Eye-abnormality	GFM1
ENSG00000114209.14	Eye-abnormality	PDCD10
ENSG00000163536.12	Eye-abnormality	SERPINI1
ENSG00000121879.3	Eye-abnormality	PIK3CA
ENSG00000205981.6	Eye-abnormality	DNAJC19
ENSG00000181449.3	Eye-abnormality	SOX2
ENSG00000214160.9	Eye-abnormality	ALG3
ENSG00000114859.15	Eye-abnormality	CLCN2
ENSG00000113790.10	Eye-abnormality	EHHADH
ENSG00000213139.7	Eye-abnormality	CRYGS
ENSG00000127241.16	Eye-abnormality	MASP1
ENSG00000073282.12	Eye-abnormality	TP63
ENSG00000113946.3	Eye-abnormality	CLDN16
ENSG00000198836.8	Eye-abnormality	OPA1
ENSG00000161217.11	Eye-abnormality	PCYT1A
ENSG00000145016.15	Eye-abnormality	RUBCN
ENSG00000127415.12	Eye-abnormality	IDUA
ENSG00000068078.17	Eye-abnormality	FGFR3
ENSG00000168924.14	Eye-abnormality	LETM1
ENSG00000087266.15	Eye-abnormality	SH3BP2
ENSG00000163956.10	Eye-abnormality	LRPAP1
ENSG00000173040.12	Eye-abnormality	EVC2
ENSG00000109501.13	Eye-abnormality	WFS1
ENSG00000215612.7	Eye-abnormality	HMX1
ENSG00000109705.7	Eye-abnormality	NKX3-2
ENSG00000048342.15	Eye-abnormality	CC2D2A
ENSG00000007062.11	Eye-abnormality	PROM1
ENSG00000157796.17	Eye-abnormality	WDR19
ENSG00000154277.12	Eye-abnormality	UCHL1
ENSG00000109132.6	Eye-abnormality	PHOX2B
ENSG00000157404.15	Eye-abnormality	KIT
ENSG00000128039.10	Eye-abnormality	SRD5A3
ENSG00000163453.11	Eye-abnormality	IGFBP7
ENSG00000080493.15	Eye-abnormality	SLC4A4
ENSG00000138759.18	Eye-abnormality	FRAS1
ENSG00000138675.16	Eye-abnormality	FGF5
ENSG00000152795.17	Eye-abnormality	HNRNPDL
ENSG00000173085.13	Eye-abnormality	COQ2
ENSG00000152208.12	Eye-abnormality	GRID2
ENSG00000138823.13	Eye-abnormality	MTTP
ENSG00000109323.8	Eye-abnormality	MANBA
ENSG00000145354.9	Eye-abnormality	CISD2
ENSG00000164022.16	Eye-abnormality	AIMP1
ENSG00000205403.12	Eye-abnormality	CFI
ENSG00000164093.15	Eye-abnormality	PITX2
ENSG00000145375.7	Eye-abnormality	SPATA5
ENSG00000196159.11	Eye-abnormality	FAT4
ENSG00000164073.9	Eye-abnormality	MFSD8
ENSG00000181541.5	Eye-abnormality	MAB21L2
ENSG00000164120.13	Eye-abnormality	HPGD
ENSG00000038002.8	Eye-abnormality	AGA
ENSG00000168538.15	Eye-abnormality	TRAPPC11
ENSG00000164306.10	Eye-abnormality	PRIMPOL
ENSG00000151729.10	Eye-abnormality	SLC25A4
ENSG00000145476.15	Eye-abnormality	CYP4V2
ENSG00000109536.11	Eye-abnormality	FRG1
ENSG00000073578.16	Eye-abnormality	SDHA
ENSG00000174358.15	Eye-abnormality	SLC6A19
ENSG00000164363.9	Eye-abnormality	SLC6A18
ENSG00000037474.14	Eye-abnormality	NSUN2
ENSG00000124275.14	Eye-abnormality	MTRR
ENSG00000112902.11	Eye-abnormality	SEMA5A
ENSG00000164175.14	Eye-abnormality	SLC45A2
ENSG00000242110.7	Eye-abnormality	AMACR
ENSG00000152620.12	Eye-abnormality	NADK2
ENSG00000164190.17	Eye-abnormality	NIPBL
ENSG00000113594.9	Eye-abnormality	LIFR
ENSG00000112964.13	Eye-abnormality	GHR
ENSG00000164172.18	Eye-abnormality	MOCS2
ENSG00000164509.13	Eye-abnormality	IL31RA
ENSG00000113448.18	Eye-abnormality	PDE4D
ENSG00000049167.13	Eye-abnormality	ERCC8
ENSG00000130449.5	Eye-abnormality	ZSWIM6
ENSG00000068796.16	Eye-abnormality	KIF2A
ENSG00000145675.14	Eye-abnormality	PIK3R1
ENSG00000197822.10	Eye-abnormality	OCLN
ENSG00000049860.13	Eye-abnormality	HEXB
ENSG00000113163.15	Eye-abnormality	COL4A3BP
ENSG00000164252.12	Eye-abnormality	AGGF1
ENSG00000132842.13	Eye-abnormality	AP3B1
ENSG00000113273.15	Eye-abnormality	ARSB
ENSG00000038427.15	Eye-abnormality	VCAN
ENSG00000145715.14	Eye-abnormality	RASA1
ENSG00000081189.15	Eye-abnormality	MEF2C
ENSG00000175745.11	Eye-abnormality	NR2F1
ENSG00000164209.16	Eye-abnormality	SLC25A46
ENSG00000134987.11	Eye-abnormality	WDR36
ENSG00000134982.16	Eye-abnormality	APC
ENSG00000164904.17	Eye-abnormality	ALDH7A1
ENSG00000113368.11	Eye-abnormality	LMNB1
ENSG00000138829.11	Eye-abnormality	FBN2
ENSG00000113522.13	Eye-abnormality	RAD50
ENSG00000164405.10	Eye-abnormality	UQCRQ
ENSG00000072364.12	Eye-abnormality	AFF4
ENSG00000152700.13	Eye-abnormality	SAR1B
ENSG00000120708.16	Eye-abnormality	TGFBI
ENSG00000120725.12	Eye-abnormality	SIL1
ENSG00000185129.5	Eye-abnormality	PURA
ENSG00000156475.18	Eye-abnormality	PPP2R2B
ENSG00000169247.11	Eye-abnormality	SH3TC2
ENSG00000155850.7	Eye-abnormality	SLC26A2
ENSG00000113721.13	Eye-abnormality	PDGFRB
ENSG00000070814.17	Eye-abnormality	TCOF1
ENSG00000196743.8	Eye-abnormality	GM2A
ENSG00000113140.10	Eye-abnormality	SPARC
ENSG00000113643.8	Eye-abnormality	RARS
ENSG00000174705.12	Eye-abnormality	SH3PXD2B
ENSG00000120149.8	Eye-abnormality	MSX2
ENSG00000165671.19	Eye-abnormality	NSD1
ENSG00000027847.13	Eye-abnormality	B4GALT7
ENSG00000087116.14	Eye-abnormality	ADAMTS2
ENSG00000054598.6	Eye-abnormality	FOXC1
ENSG00000137285.9	Eye-abnormality	TUBB2B
ENSG00000145982.11	Eye-abnormality	FARS2
ENSG00000137203.10	Eye-abnormality	TFAP2A
ENSG00000124827.6	Eye-abnormality	GCM2
ENSG00000145979.17	Eye-abnormality	TBC1D7
ENSG00000047579.19	Eye-abnormality	DTNBP1
ENSG00000124788.17	Eye-abnormality	ATXN1
ENSG00000187566.5	Eye-abnormality	NHLRC1
ENSG00000112294.12	Eye-abnormality	ALDH5A1
ENSG00000206503.12	Eye-abnormality	HLA-A
ENSG00000196230.12	Eye-abnormality	TUBB
ENSG00000137411.16	Eye-abnormality	VARS2
ENSG00000232810.3	Eye-abnormality	TNF
ENSG00000204386.10	Eye-abnormality	NEU1
ENSG00000204351.11	Eye-abnormality	SKIV2L
ENSG00000244731.7	Eye-abnormality	C4A
ENSG00000196126.11	Eye-abnormality	HLA-DRB1
ENSG00000204264.8	Eye-abnormality	PSMB8
ENSG00000204248.10	Eye-abnormality	COL11A2
ENSG00000124615.17	Eye-abnormality	MOCS1
ENSG00000095970.16	Eye-abnormality	TREM2
ENSG00000048545.13	Eye-abnormality	GUCA1A
ENSG00000112619.7	Eye-abnormality	PRPH2
ENSG00000112640.14	Eye-abnormality	PPP2R5D
ENSG00000170734.11	Eye-abnormality	POLH
ENSG00000124608.4	Eye-abnormality	AARS2
ENSG00000124813.20	Eye-abnormality	RUNX2
ENSG00000146085.7	Eye-abnormality	MUT
ENSG00000008196.12	Eye-abnormality	TFAP2B
ENSG00000012660.13	Eye-abnormality	ELOVL5
ENSG00000151914.19	Eye-abnormality	DST
ENSG00000112280.15	Eye-abnormality	COL9A1
ENSG00000135297.15	Eye-abnormality	MTO1
ENSG00000119899.12	Eye-abnormality	SLC17A5
ENSG00000112706.11	Eye-abnormality	IMPG1
ENSG00000118402.5	Eye-abnormality	ELOVL4
ENSG00000135317.12	Eye-abnormality	SNX14
ENSG00000146282.17	Eye-abnormality	RARS2
ENSG00000112234.8	Eye-abnormality	FBXL4
ENSG00000112246.9	Eye-abnormality	SIM1
ENSG00000164494.11	Eye-abnormality	PDSS2
ENSG00000112320.11	Eye-abnormality	SOBP
ENSG00000112365.4	Eye-abnormality	ZBTB24
ENSG00000112367.10	Eye-abnormality	FIG4
ENSG00000111817.16	Eye-abnormality	DSE
ENSG00000189241.6	Eye-abnormality	TSPYL1
ENSG00000152661.7	Eye-abnormality	GJA1
ENSG00000196569.11	Eye-abnormality	LAMA2
ENSG00000112357.12	Eye-abnormality	PEX7
ENSG00000112414.14	Eye-abnormality	ADGRG6
ENSG00000152822.13	Eye-abnormality	GRM1
ENSG00000131018.22	Eye-abnormality	SYNE1
ENSG00000049618.22	Eye-abnormality	ARID1B
ENSG00000122194.18	Eye-abnormality	PLG
ENSG00000060762.18	Eye-abnormality	MPC1
ENSG00000026297.15	Eye-abnormality	RNASET2
ENSG00000130023.15	Eye-abnormality	ERMARD
ENSG00000112592.13	Eye-abnormality	TBP
ENSG00000177706.8	Eye-abnormality	FAM20C
ENSG00000106009.15	Eye-abnormality	BRAT1
ENSG00000075624.13	Eye-abnormality	ACTB
ENSG00000011275.18	Eye-abnormality	RNF216
ENSG00000122512.14	Eye-abnormality	PMS2
ENSG00000122691.12	Eye-abnormality	TWIST1
ENSG00000122591.11	Eye-abnormality	FAM126A
ENSG00000105991.7	Eye-abnormality	HOXA1
ENSG00000106031.7	Eye-abnormality	HOXA13
ENSG00000106080.10	Eye-abnormality	FKBP14
ENSG00000164619.8	Eye-abnormality	BMPER
ENSG00000106536.19	Eye-abnormality	POU6F2
ENSG00000106571.12	Eye-abnormality	GLI3
ENSG00000185811.16	Eye-abnormality	IKZF1
ENSG00000132437.17	Eye-abnormality	DDC
ENSG00000169919.16	Eye-abnormality	GUSB
ENSG00000243335.9	Eye-abnormality	KCTD7
ENSG00000158321.15	Eye-abnormality	AUTS2
ENSG00000106638.15	Eye-abnormality	TBL2
ENSG00000127948.15	Eye-abnormality	POR
ENSG00000186472.19	Eye-abnormality	PCLO
ENSG00000127980.15	Eye-abnormality	PEX1
ENSG00000205413.7	Eye-abnormality	SAMD9
ENSG00000070669.16	Eye-abnormality	ASNS
ENSG00000106367.13	Eye-abnormality	AP1S1
ENSG00000106397.11	Eye-abnormality	PLOD3
ENSG00000091136.13	Eye-abnormality	LAMB1
ENSG00000006652.13	Eye-abnormality	IFRD1
ENSG00000105974.11	Eye-abnormality	CAV1
ENSG00000106025.8	Eye-abnormality	TSPAN12
ENSG00000008311.14	Eye-abnormality	AASS
ENSG00000128617.2	Eye-abnormality	OPN1SW
ENSG00000106477.18	Eye-abnormality	CEP41
ENSG00000157764.12	Eye-abnormality	BRAF
ENSG00000106462.10	Eye-abnormality	EZH2
ENSG00000146926.10	Eye-abnormality	ASB10
ENSG00000106648.13	Eye-abnormality	GALNTL5
ENSG00000130226.16	Eye-abnormality	DPP6
ENSG00000164690.7	Eye-abnormality	SHH
ENSG00000105983.20	Eye-abnormality	LMBR1
ENSG00000182372.9	Eye-abnormality	CLN8
ENSG00000183638.5	Eye-abnormality	RP1L1
ENSG00000136574.17	Eye-abnormality	GATA4
ENSG00000104763.18	Eye-abnormality	ASAH1
ENSG00000277586.2	Eye-abnormality	NEFL
ENSG00000171320.14	Eye-abnormality	ESCO2
ENSG00000165392.9	Eye-abnormality	WRN
ENSG00000129696.12	Eye-abnormality	TTI2
ENSG00000147475.14	Eye-abnormality	ERLIN2
ENSG00000085788.13	Eye-abnormality	DDHD2
ENSG00000077782.19	Eye-abnormality	FGFR1
ENSG00000029534.19	Eye-abnormality	ANK1
ENSG00000083168.9	Eye-abnormality	KAT6A
ENSG00000165102.14	Eye-abnormality	HGSNAT
ENSG00000253729.7	Eye-abnormality	PRKDC
ENSG00000104331.8	Eye-abnormality	IMPAD1
ENSG00000171316.11	Eye-abnormality	CHD7
ENSG00000198363.17	Eye-abnormality	ASPH
ENSG00000137561.4	Eye-abnormality	TTPA
ENSG00000172817.3	Eye-abnormality	CYP7B1
ENSG00000104313.17	Eye-abnormality	EYA1
ENSG00000175606.10	Eye-abnormality	TMEM70
ENSG00000091656.15	Eye-abnormality	ZFHX4
ENSG00000104267.9	Eye-abnormality	CA2
ENSG00000164953.15	Eye-abnormality	TMEM67
ENSG00000164951.15	Eye-abnormality	PDP1
ENSG00000156471.12	Eye-abnormality	PTDSS1
ENSG00000132549.18	Eye-abnormality	VPS13B
ENSG00000048392.11	Eye-abnormality	RRM2B
ENSG00000182197.10	Eye-abnormality	EXT1
ENSG00000164761.8	Eye-abnormality	TNFRSF11B
ENSG00000064313.11	Eye-abnormality	TAF2
ENSG00000104419.14	Eye-abnormality	NDRG1
ENSG00000178209.14	Eye-abnormality	PLEC
ENSG00000185803.8	Eye-abnormality	SLC52A2
ENSG00000147804.9	Eye-abnormality	SLC39A4
ENSG00000160957.12	Eye-abnormality	RECQL4
ENSG00000168263.8	Eye-abnormality	KCNV2
ENSG00000107249.21	Eye-abnormality	GLIS3
ENSG00000107165.12	Eye-abnormality	TYRP1
ENSG00000164946.19	Eye-abnormality	FREM1
ENSG00000099810.18	Eye-abnormality	MTAP
ENSG00000147889.17	Eye-abnormality	CDKN2A
ENSG00000107201.9	Eye-abnormality	DDX58
ENSG00000137074.18	Eye-abnormality	APTX
ENSG00000213930.11	Eye-abnormality	GALT
ENSG00000137070.17	Eye-abnormality	IL11RA
ENSG00000165282.13	Eye-abnormality	PIGO
ENSG00000269900.3	Eye-abnormality	RMRP
ENSG00000070610.14	Eye-abnormality	GBA2
ENSG00000159921.14	Eye-abnormality	GNE
ENSG00000165060.11	Eye-abnormality	FXN
ENSG00000197969.11	Eye-abnormality	VPS13A
ENSG00000156052.10	Eye-abnormality	GNAQ
ENSG00000135069.13	Eye-abnormality	PSAT1
ENSG00000148090.11	Eye-abnormality	AUH
ENSG00000169071.14	Eye-abnormality	ROR2
ENSG00000158169.12	Eye-abnormality	FANCC
ENSG00000185920.15	Eye-abnormality	PTCH1
ENSG00000196116.7	Eye-abnormality	TDRD7
ENSG00000136936.10	Eye-abnormality	XPA
ENSG00000106799.12	Eye-abnormality	TGFBR1
ENSG00000119523.9	Eye-abnormality	ALG2
ENSG00000165029.15	Eye-abnormality	ABCA1
ENSG00000070061.14	Eye-abnormality	IKBKAP
ENSG00000030304.13	Eye-abnormality	MUSK
ENSG00000196739.14	Eye-abnormality	COL27A1
ENSG00000148180.19	Eye-abnormality	GSN
ENSG00000136944.17	Eye-abnormality	LMX1B
ENSG00000136908.17	Eye-abnormality	DPM2
ENSG00000119392.14	Eye-abnormality	GLE1
ENSG00000119333.11	Eye-abnormality	WDR34
ENSG00000050555.17	Eye-abnormality	LAMC3
ENSG00000107290.13	Eye-abnormality	SETX
ENSG00000165699.13	Eye-abnormality	TSC1
ENSG00000197859.9	Eye-abnormality	ADAMTSL2
ENSG00000123454.10	Eye-abnormality	DBH
ENSG00000130635.15	Eye-abnormality	COL5A1
ENSG00000165688.11	Eye-abnormality	PMPCA
ENSG00000148384.12	Eye-abnormality	INPP5E
ENSG00000148400.9	Eye-abnormality	NOTCH1
ENSG00000181090.19	Eye-abnormality	EHMT1
ENSG00000015171.19	Eye-abnormality	ZMYND11
ENSG00000107485.15	Eye-abnormality	GATA3
ENSG00000123240.16	Eye-abnormality	OPTN
ENSG00000107537.13	Eye-abnormality	PHYH
ENSG00000077943.7	Eye-abnormality	ITGA8
ENSG00000165996.13	Eye-abnormality	HACD1
ENSG00000168267.6	Eye-abnormality	PTF1A
ENSG00000148459.15	Eye-abnormality	PDSS1
ENSG00000107951.14	Eye-abnormality	MTPAP
ENSG00000263761.2	Eye-abnormality	GDF2
ENSG00000225830.12	Eye-abnormality	ERCC6
ENSG00000150275.17	Eye-abnormality	PCDH15
ENSG00000179774.8	Eye-abnormality	ATOH7
ENSG00000138346.14	Eye-abnormality	DNA2
ENSG00000198954.7	Eye-abnormality	KIF1BP
ENSG00000198246.7	Eye-abnormality	SLC29A3
ENSG00000197746.13	Eye-abnormality	PSAP
ENSG00000122863.5	Eye-abnormality	CHST3
ENSG00000156110.13	Eye-abnormality	ADK
ENSG00000156650.12	Eye-abnormality	KAT6B
ENSG00000198682.12	Eye-abnormality	PAPSS2
ENSG00000171862.10	Eye-abnormality	PTEN
ENSG00000107796.13	Eye-abnormality	ACTA2
ENSG00000152779.13	Eye-abnormality	SLC16A12
ENSG00000138160.5	Eye-abnormality	KIF11
ENSG00000138207.13	Eye-abnormality	RBP4
ENSG00000059573.8	Eye-abnormality	ALDH18A1
ENSG00000119977.20	Eye-abnormality	TCTN3
ENSG00000138185.18	Eye-abnormality	ENTPD1
ENSG00000095585.16	Eye-abnormality	BLNK
ENSG00000075891.21	Eye-abnormality	PAX2
ENSG00000186862.17	Eye-abnormality	PDZD7
ENSG00000166167.17	Eye-abnormality	BTRC
ENSG00000076685.18	Eye-abnormality	NT5C2
ENSG00000065618.18	Eye-abnormality	COL17A1
ENSG00000214413.7	Eye-abnormality	BBIP1
ENSG00000108061.11	Eye-abnormality	SHOC2
ENSG00000148704.12	Eye-abnormality	VAX1
ENSG00000183605.16	Eye-abnormality	SFXN4
ENSG00000066468.22	Eye-abnormality	FGFR2
ENSG00000166033.11	Eye-abnormality	HTRA1
ENSG00000196177.12	Eye-abnormality	ACADSB
ENSG00000154473.17	Eye-abnormality	BUB3
ENSG00000065154.11	Eye-abnormality	OAT
ENSG00000188690.12	Eye-abnormality	UROS
ENSG00000206013.2	Eye-abnormality	IFITM5
ENSG00000174775.16	Eye-abnormality	HRAS
ENSG00000117984.13	Eye-abnormality	CTSD
ENSG00000130600.17	Eye-abnormality	H19
ENSG00000180176.14	Eye-abnormality	TH
ENSG00000167323.11	Eye-abnormality	STIM1
ENSG00000244734.3	Eye-abnormality	HBB
ENSG00000166311.9	Eye-abnormality	SMPD1
ENSG00000166340.15	Eye-abnormality	TPP1
ENSG00000133812.15	Eye-abnormality	SBF2
ENSG00000187079.16	Eye-abnormality	TEAD1
ENSG00000152266.6	Eye-abnormality	PTH
ENSG00000197601.12	Eye-abnormality	FAR1
ENSG00000006071.12	Eye-abnormality	ABCC8
ENSG00000110756.17	Eye-abnormality	HPS5
ENSG00000165970.11	Eye-abnormality	SLC6A5
ENSG00000109911.18	Eye-abnormality	ELP4
ENSG00000007372.21	Eye-abnormality	PAX6
ENSG00000184937.13	Eye-abnormality	WT1
ENSG00000110435.11	Eye-abnormality	PDHX
ENSG00000166349.9	Eye-abnormality	RAG1
ENSG00000052850.5	Eye-abnormality	ALX4
ENSG00000157613.10	Eye-abnormality	CREB3L1
ENSG00000134569.9	Eye-abnormality	LRP4
ENSG00000134574.11	Eye-abnormality	DDB2
ENSG00000165915.13	Eye-abnormality	SLC39A13
ENSG00000172409.5	Eye-abnormality	CLP1
ENSG00000189057.10	Eye-abnormality	FAM111B
ENSG00000166801.15	Eye-abnormality	FAM111A
ENSG00000167995.15	Eye-abnormality	BEST1
ENSG00000149541.9	Eye-abnormality	B3GAT3
ENSG00000175334.7	Eye-abnormality	BANF1
ENSG00000175115.11	Eye-abnormality	PACS1
ENSG00000174684.6	Eye-abnormality	B4GAT1
ENSG00000173898.11	Eye-abnormality	SPTBN2
ENSG00000110711.9	Eye-abnormality	AIP
ENSG00000162337.11	Eye-abnormality	LRP5
ENSG00000186895.2	Eye-abnormality	FGF3
ENSG00000168040.4	Eye-abnormality	FADD
ENSG00000172893.15	Eye-abnormality	DHCR7
ENSG00000165458.13	Eye-abnormality	INPPL1
ENSG00000162129.12	Eye-abnormality	CLPB
ENSG00000149260.15	Eye-abnormality	CAPN5
ENSG00000159063.12	Eye-abnormality	ALG8
ENSG00000171202.6	Eye-abnormality	TMEM126A
ENSG00000174804.3	Eye-abnormality	FZD4
ENSG00000077498.8	Eye-abnormality	TYR
ENSG00000137693.13	Eye-abnormality	YAP1
ENSG00000023445.13	Eye-abnormality	BIRC3
ENSG00000196611.4	Eye-abnormality	MMP1
ENSG00000149311.18	Eye-abnormality	ATM
ENSG00000109846.7	Eye-abnormality	CRYAB
ENSG00000150768.15	Eye-abnormality	DLAT
ENSG00000109906.13	Eye-abnormality	ZBTB16
ENSG00000118137.9	Eye-abnormality	APOA1
ENSG00000137700.17	Eye-abnormality	SLC37A4
ENSG00000172269.18	Eye-abnormality	DPAGT1
ENSG00000110395.6	Eye-abnormality	CBL
ENSG00000223953.5	Eye-abnormality	C1QTNF5
ENSG00000235718.8	Eye-abnormality	MFRP
ENSG00000109929.9	Eye-abnormality	SC5D
ENSG00000166250.11	Eye-abnormality	CLMP
ENSG00000154134.14	Eye-abnormality	ROBO3
ENSG00000198331.10	Eye-abnormality	HYLS1
ENSG00000064309.14	Eye-abnormality	CDON
ENSG00000151702.16	Eye-abnormality	FLI1
ENSG00000120457.11	Eye-abnormality	KCNJ5
ENSG00000149418.10	Eye-abnormality	ST14
ENSG00000166086.12	Eye-abnormality	JAM3
ENSG00000111262.5	Eye-abnormality	KCNA1
ENSG00000067182.7	Eye-abnormality	TNFRSF1A
ENSG00000139190.16	Eye-abnormality	VAMP1
ENSG00000111669.14	Eye-abnormality	TPI1
ENSG00000111676.14	Eye-abnormality	ATN1
ENSG00000184344.3	Eye-abnormality	GDF3
ENSG00000059804.15	Eye-abnormality	SLC2A3
ENSG00000111341.9	Eye-abnormality	MGP
ENSG00000069431.11	Eye-abnormality	ABCC9
ENSG00000133703.11	Eye-abnormality	KRAS
ENSG00000013573.16	Eye-abnormality	DDX11
ENSG00000087470.17	Eye-abnormality	DNM1L
ENSG00000018236.14	Eye-abnormality	CNTN1
ENSG00000139219.17	Eye-abnormality	COL2A1
ENSG00000167548.14	Eye-abnormality	KMT2D
ENSG00000196876.15	Eye-abnormality	SCN8A
ENSG00000170523.3	Eye-abnormality	KRT83
ENSG00000094914.12	Eye-abnormality	AAAS
ENSG00000139531.12	Eye-abnormality	SUOX
ENSG00000065361.14	Eye-abnormality	ERBB3
ENSG00000139540.11	Eye-abnormality	SLC39A5
ENSG00000185482.7	Eye-abnormality	STAC3
ENSG00000135454.13	Eye-abnormality	B4GALNT1
ENSG00000123297.17	Eye-abnormality	TSFM
ENSG00000174106.2	Eye-abnormality	LEMD3
ENSG00000174099.10	Eye-abnormality	MSRB3
ENSG00000180318.3	Eye-abnormality	ALX1
ENSG00000139330.5	Eye-abnormality	KERA
ENSG00000011465.16	Eye-abnormality	DCN
ENSG00000173588.14	Eye-abnormality	CEP83
ENSG00000111670.14	Eye-abnormality	GNPTAB
ENSG00000017427.15	Eye-abnormality	IGF1
ENSG00000171759.9	Eye-abnormality	PAH
ENSG00000013503.9	Eye-abnormality	POLR3B
ENSG00000151148.13	Eye-abnormality	UBE3B
ENSG00000110921.13	Eye-abnormality	MVK
ENSG00000111199.10	Eye-abnormality	TRPV4
ENSG00000204842.14	Eye-abnormality	ATXN2
ENSG00000089250.18	Eye-abnormality	NOS1
ENSG00000122971.8	Eye-abnormality	ACADS
ENSG00000185344.13	Eye-abnormality	ATP6V0A2
ENSG00000177192.13	Eye-abnormality	PUS1
ENSG00000165474.5	Eye-abnormality	GJB2
ENSG00000121742.16	Eye-abnormality	GJB6
ENSG00000151835.14	Eye-abnormality	SACS
ENSG00000132932.16	Eye-abnormality	ATP8A2
ENSG00000187676.7	Eye-abnormality	B3GLCT
ENSG00000133116.7	Eye-abnormality	KL
ENSG00000133104.12	Eye-abnormality	SPG20
ENSG00000102743.14	Eye-abnormality	SLC25A15
ENSG00000136143.14	Eye-abnormality	SUCLA2
ENSG00000136156.12	Eye-abnormality	ITM2B
ENSG00000139687.13	Eye-abnormality	RB1
ENSG00000139679.15	Eye-abnormality	LPAR6
ENSG00000123191.14	Eye-abnormality	ATP7B
ENSG00000253710.2	Eye-abnormality	ALG11
ENSG00000102805.14	Eye-abnormality	CLN5
ENSG00000136160.14	Eye-abnormality	EDNRB
ENSG00000184564.8	Eye-abnormality	SLITRK6
ENSG00000043355.11	Eye-abnormality	ZIC2
ENSG00000102452.15	Eye-abnormality	NALCN
ENSG00000102466.15	Eye-abnormality	FGF14
ENSG00000187498.14	Eye-abnormality	COL4A1
ENSG00000198824.5	Eye-abnormality	CHAMP1
ENSG00000157227.12	Eye-abnormality	MMP14
ENSG00000100836.10	Eye-abnormality	PABPN1
ENSG00000197616.11	Eye-abnormality	MYH6
ENSG00000092098.16	Eye-abnormality	RNF31
ENSG00000092330.15	Eye-abnormality	TINF2
ENSG00000176165.10	Eye-abnormality	FOXG1
ENSG00000100478.14	Eye-abnormality	AP4S1
ENSG00000151413.16	Eye-abnormality	NUBPL
ENSG00000100934.14	Eye-abnormality	SEC23A
ENSG00000165506.14	Eye-abnormality	DNAAF2
ENSG00000087299.11	Eye-abnormality	L2HGDH
ENSG00000100503.23	Eye-abnormality	NIN
ENSG00000125378.15	Eye-abnormality	BMP4
ENSG00000131979.18	Eye-abnormality	GCH1
ENSG00000165588.16	Eye-abnormality	OTX2
ENSG00000184302.6	Eye-abnormality	SIX6
ENSG00000072042.12	Eye-abnormality	RDH11
ENSG00000072121.15	Eye-abnormality	ZFYVE26
ENSG00000198732.10	Eye-abnormality	SMOC1
ENSG00000119614.2	Eye-abnormality	VSX2
ENSG00000119688.20	Eye-abnormality	ABCD4
ENSG00000119655.10	Eye-abnormality	NPC2
ENSG00000165898.13	Eye-abnormality	ISCA2
ENSG00000119681.11	Eye-abnormality	LTBP2
ENSG00000009830.11	Eye-abnormality	POMT2
ENSG00000054983.16	Eye-abnormality	GALC
ENSG00000140092.14	Eye-abnormality	FBLN5
ENSG00000066427.21	Eye-abnormality	ATXN3
ENSG00000133937.4	Eye-abnormality	GSC
ENSG00000254585.2	Eye-abnormality	MAGEL2
ENSG00000182636.5	Eye-abnormality	NDN
ENSG00000114062.18	Eye-abnormality	UBE3A
ENSG00000104044.15	Eye-abnormality	OCA2
ENSG00000128731.15	Eye-abnormality	HERC2
ENSG00000175344.17	Eye-abnormality	CHRNA7
ENSG00000140199.11	Eye-abnormality	SLC12A6
ENSG00000182117.5	Eye-abnormality	NOP10
ENSG00000134138.19	Eye-abnormality	MEIS2
ENSG00000166068.12	Eye-abnormality	SPRED1
ENSG00000169105.7	Eye-abnormality	CHST14
ENSG00000128881.16	Eye-abnormality	TTBK2
ENSG00000159459.11	Eye-abnormality	UBR1
ENSG00000104133.14	Eye-abnormality	SPG11
ENSG00000166710.17	Eye-abnormality	B2M
ENSG00000104164.10	Eye-abnormality	BLOC1S6
ENSG00000188467.10	Eye-abnormality	SLC24A5
ENSG00000074803.17	Eye-abnormality	SLC12A1
ENSG00000166147.13	Eye-abnormality	FBN1
ENSG00000197535.14	Eye-abnormality	MYO5A
ENSG00000069974.15	Eye-abnormality	RAB27A
ENSG00000166794.4	Eye-abnormality	PPIB
ENSG00000103707.9	Eye-abnormality	MTFMT
ENSG00000074621.13	Eye-abnormality	SLC24A1
ENSG00000166949.15	Eye-abnormality	SMAD3
ENSG00000128973.12	Eye-abnormality	CLN6
ENSG00000278570.4	Eye-abnormality	NR2E3
ENSG00000213614.9	Eye-abnormality	HEXA
ENSG00000140374.15	Eye-abnormality	ETFA
ENSG00000207695.1	Eye-abnormality	MIR184
ENSG00000172379.20	Eye-abnormality	ARNT2
ENSG00000177082.12	Eye-abnormality	WDR73
ENSG00000166716.9	Eye-abnormality	ZNF592
ENSG00000140522.11	Eye-abnormality	RLBP1
ENSG00000140521.12	Eye-abnormality	POLG
